latitude,longitude,altitude,geometry,id_5x,iso3,bed_prv_pu,bed_pub_pu,edu_prv_pu,edu_pub_pu,emp_agr_pu,emp_gov_pu,emp_ind_pu,emp_ser_pu,ic_high_pu,ic_low_pu,ic_mhg_pu,ic_mlw_pu,tot_pu,bed_prv_cu,bed_pub_cu,edu_prv_cu,edu_pub_cu,emp_agr_cu,emp_gov_cu,emp_ind_cu,emp_ser_cu,ic_high_cu,ic_low_cu,ic_mhg_cu,ic_mlw_cu,tot_cu,bed_prv_pr,bed_pub_pr,edu_prv_pr,edu_pub_pr,emp_agr_pr,emp_gov_pr,emp_ind_pr,emp_ser_pr,ic_high_pr,ic_low_pr,ic_mhg_pr,ic_mlw_pr,tot_pr,bed_prv_cr,bed_pub_cr,edu_prv_cr,edu_pub_cr,emp_agr_cr,emp_gov_cr,emp_ind_cr,emp_ser_cr,ic_high_cr,ic_low_cr,ic_mhg_cr,ic_mlw_cr,tot_cr,tot_pob,tot_val
21.97083331,-72.02083333,,Point,6071205,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.095,0.9,2.9,0,0,0.9,2.9,1.4,4.6,13.5,14.6,41.816,0.0003,0.0015,0.0144,0.0465,0,0,0.0722,0.093,0.0561,0.0369,0.3248,0.3513,0.9971,41.816,0.9971
21.97083331,-71.97916667,,Point,6071206,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.576,2.624,25.5,81.2,1.1,0,25.8,80.7,38.7,126.5,373.8,404,1160.5,0.0093,0.0421,0.4095,1.3041,0,0,2.0718,2.5921,1.5538,1.0158,9.0049,9.7324,27.7359,1160.5,27.7359
21.97083331,-71.9375,,Point,6071207,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.017,0.2,0.5,0,0,0.2,0.5,0.2,0.8,2.4,2.6,7.421,0.0001,0.0003,0.0032,0.008,0,0,0.0159,0.0159,0.008,0.0064,0.0574,0.0622,0.1774,7.421,0.1774
21.92916664,-72.0625,,Point,6074329,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073,0.334,3.2,10.3,0.1,0,3.3,10.3,4.9,16.1,47.5,51.4,147.507,0.0012,0.0054,0.0514,0.1653,0,0,0.2648,0.3306,0.1966,0.1292,1.1436,1.2375,3.5257,147.507,3.5257
21.92916664,-72.02083333,,Point,6074330,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,0.525,5.1,16.3,0.2,0,5.2,16.2,7.7,25.3,74.8,80.9,232.34,0.0018,0.0084,0.0819,0.2618,0,0,0.4176,0.5204,0.3092,0.2032,1.8022,1.9492,5.5558,232.34,5.5558
21.92916664,-71.97916667,,Point,6074331,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663,3.022,29.3,93.5,1.2,0,29.7,92.9,44.6,145.7,430.5,465.2,1336.29,0.0106,0.0485,0.4705,1.5015,0,0,2.3847,2.9836,1.7905,1.1698,10.3697,11.2056,31.9351,1336.29,31.9351
21.92916664,-71.9375,,Point,6074332,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,1.093,10.6,33.8,0.4,0,10.8,33.6,16.1,52.7,155.6,168.2,483.133,0.0039,0.0175,0.1702,0.5427,0,0,0.867,1.079,0.6462,0.4231,3.7474,4.0509,11.5478,483.133,11.5478
21.92916664,-71.89583333,,Point,6074333,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0.017,0.2,0.5,0,0,0.2,0.5,0.2,0.8,2.4,2.6,7.421,0.0001,0.0003,0.0032,0.008,0,0,0.0159,0.0159,0.008,0.0064,0.0574,0.0622,0.1774,7.421,0.1774
21.88749998,-72.10416667,,Point,6077454,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0.053,0.5,1.6,0,0,0.5,1.6,0.8,2.5,7.5,8.1,23.165,0.0002,0.0009,0.0081,0.0258,0,0,0.0403,0.0516,0.0322,0.0201,0.1813,0.1958,0.5561,23.165,0.5561
21.88749998,-72.0625,,Point,6077455,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.011,0.1,0.3,0,0,0.1,0.3,0.2,0.5,1.6,1.7,4.813,0,0.0002,0.0016,0.0048,0,0,0.008,0.0096,0.008,0.004,0.0383,0.0407,0.115,4.813,0.115
21.88749998,-72.02083333,,Point,6077456,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099,0.45,4.4,13.9,0.2,0,4.4,13.9,6.6,21.7,64.2,69.3,199.149,0.0016,0.0072,0.0707,0.2233,0,0,0.3535,0.4467,0.2651,0.1743,1.5473,1.6702,4.7601,199.149,4.7601
21.88749998,-71.97916667,,Point,6077457,TCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.028,0.3,0.9,0,0,0.3,0.9,0.4,1.3,4,4.3,12.434,0.0001,0.0004,0.0048,0.0144,0,0,0.0239,0.0287,0.0159,0.0104,0.0957,0.1029,0.2972,12.434,0.2972
